;koi_score;koi_fpflag_nt;koi_fpflag_ss;koi_fpflag_co;koi_fpflag_ec;koi_period
count;7994.0;7994.0;7994.0;7994.0;7994.0;7994.0
mean;0.48382874655992114;0.10357768326244683;0.2683262446835126;0.22154115586690018;0.13522641981486114;37.036.745.595.931.500
std;0.4770091643189129;0.30473096843785746;0.44311604969642504;0.4153098224067308;0.34198664525072975;8.671.153.037.282.050
min;0.0;0.0;0.0;0.0;0.0;0.259819659
25%;0.0;0.0;0.0;0.0;0.0;2421037930.0
50%;0.371;0.0;0.0;0.0;0.0;7582526515.0
75%;0.999;0.0;1.0;0.0;0.0;23815564105.0
max;1.0;1.0;1.0;1.0;1.0;1071232624000.0
;koi_time0bk;koi_impact;koi_duration;koi_depth;koi_prad;koi_teq
count;7994.0;7994.0;7994.0;7994.0;7994.0;7994.0
mean;15.765.447.182.949.700;21.972.117.777.082.800;5.352.545.255.409.930;26.648.655.679.259.400;27.918.302.476.857.600;11.420.147.610.708.000
std;5.773.998.523.158.470;8.121.092.370.091.940;6.323.300.088.815.650;8.504.828.698.402.960;312.092.199.456.585;8.462.978.252.602.250
min;1205659254.0;0.0;0.052;0.0;0.08;92.0
25%;1325975100.0;0.216;241415.0;1624000.0;1.41;612.0
50%;1359549450.0;0.5825;373365.0;4491500.0;2.47;938.0
75%;1589050137.5;0.909;595975.0;19962000.0;197.025;1435.0
max;14725223060.0;252240.0;13854000.0;9216700000.0;26042.9;14667.0
;koi_insol;koi_model_snr;koi_tce_plnt_num;koi_steff;koi_slogg;koi_srad
count;7994.0;7994.0;7994.0;7994.0;7994.0;7994.0
mean;8.124.301.745.058.770;2.947.953.340.005.000;12.400.550.412.809.600;56.914.180.635.476.600;4.317.987.703.152.360;13.092.891.267.950.900
std;1.689.601.418.384.090;8.451.342.346.365.630;0.6501243157238029;7.883.220.565.293.490;43.673.665.191.974.000;6.491.069.899.905.270
min;0.02;0.0;1.0;2661.0;0.047;0.109
25%;33.16;14.3;1.0;5312.0;4229.0;0.827
50%;183.325;27.5;1.0;5761.0;4438.0;0.997
75%;10.035.775;10.007.499.999.999.900;1.0;6098.0;4544.0;13160.0
max;10947554.55;9054.7;8.0;15896.0;5364.0;2299080.0
;ra;dec;koi_kepmag;target_koi_pdisposition;;
count;7994.0;7994.0;7994.0;7994.0;;
mean;2.920.884.165.424.060;4.381.602.841.668.750;14.317.878.533.900.400;0.4878658994245684;;
std;4.786.093.806.899.100;360.358.083.690.644;13.669.265.256.379.800;0.4998840090963465;;
min;279856080.0;36577381.0;6966.0;0.0;;
25%;288699197.5;40784079.5;13506.25;0.0;;
50%;292304660.0;43678795.0;14575.0;0.0;;
75%;295906177.5;46722809.5;15341.75;1.0;;
max;301720760.0;52336010.0;20003.0;1.0;;
